Key,SourceString,DevComment
"da_quest_00_in_m_tu_escape_nemesis.m_Title","Une fuite désespérée",""
"da_quest_00_in_m_tu_escape_nemesis.m_HighVisionGoal","Je dois échapper à Némésis",""
"da_quest_00_in_m_tu_escape_nemesis.m_CompletedGoal","J'ai échappé à Némésis",""
"da_quest_00_in_m_tu_escape_nemesis.m_Summary","Que se passe-t-il ? Pourquoi la déesse Némésis cherche-t-elle à me châtier ? Grâce aux dieux, Aristonoé est arrivée à temps, sinon je n'aurais jamais pu m'échapper.",""
"da_quest_00_in_m_tu_escape_nemesis.m_CompletedSummary","J'ai réussi à m'enfuir, mais Némésis a tué mon mentor, Aristonoé. Désormais, je dois trouver seul le chemin vers le temple des Moires.",""
"da_quest_00_in_m_tu_escape_nemesis.m_Objectives(0).m_Objectives.Description","Sauter de la falaise et courir",""
"da_quest_00_in_m_tu_escape_nemesis.m_Objectives(1).m_Objectives.Description","Trouver un endroit pour se cacher de Némésis",""
"da_quest_00_in_m_tu_escape_nemesis.m_Objectives(2).m_Objectives.Description","S'enfuir par la grotte",""
"da_quest_00_in_m_tu_escape_nemesis.m_Objectives(3).m_Objectives.Description","Parler à Aristonoé",""
"da_quest_00_in_m_tu_escape_nemesis.m_Objectives(4).m_Objectives.Description","Prendre la mer",""
"da_quest_00_in_m_tu_griffin_hunt.m_Title","La Reine de la montagne",""
"da_quest_00_in_m_tu_griffin_hunt.m_HighVisionGoal","Je devrais me rendre au mont Proti et vaincre le griffon",""
"da_quest_00_in_m_tu_griffin_hunt.m_CompletedGoal","J'ai vaincu le griffon et détruit son nid",""
"da_quest_00_in_m_tu_griffin_hunt.m_Summary","Depuis des mois, un griffon et ses fanatiques terrorisent l'île de Proti. J'ai reçu la bénédiction des dieux. Il est temps de mettre un terme à la tyrannie de la créature.",""
"da_quest_00_in_m_tu_griffin_hunt.m_CompletedSummary","L'île de Proti est en sécurité. Mais aucun acte héroïque ne reste impuni...",""
"da_quest_00_in_m_tu_griffin_hunt.m_Objectives(0).m_Objectives.Description","Atteindre le nid du griffon",""
"da_quest_00_in_m_tu_griffin_hunt.m_Objectives(1).m_Objectives.Description","Trouver le passage des ruines",""
"da_quest_00_in_m_tu_griffin_hunt.m_Objectives(2).m_Objectives.Description","Recevoir la bénédiction du sanctuaire",""
"da_quest_00_in_m_tu_griffin_hunt.m_Objectives(3).m_Objectives.Description","Vaincre le griffon",""
"da_quest_00_in_m_tu_griffin_hunt.m_Objectives(4).m_Objectives.Description","Détruire le nid du griffon",""
"da_quest_00_in_m_tu_griffin_hunt.m_QuestInformation(0).m_QuestInformation.HighVisionGoal","Je devrais vaincre le griffon et détruire son nid",""
"da_quest_00_in_m_tu_village_attack.m_Title","Défendre le village de Proti",""
"da_quest_00_in_m_tu_village_attack.m_HighVisionGoal","Je dois sauver les villageois des fanatiques du griffon.",""
"da_quest_00_in_m_tu_village_attack.m_CompletedGoal","J'ai défendu le village",""
"da_quest_00_in_m_tu_village_attack.m_Summary","Le griffon a encore frappé ! Ses disciples avides pillent le village de Proti pour l'or. Les villageois ont besoin de mon aide.",""
"da_quest_00_in_m_tu_village_attack.m_CompletedSummary","J'ai secouru les villageois et repoussé l'attaque du culte, mais ils ne seront vraiment en sécurité que lorsque le griffon sera vaincu.",""
"da_quest_00_in_m_tu_village_attack.m_Objectives(0).m_Objectives.Description","Courir au village",""
"da_quest_00_in_m_tu_village_attack.m_Objectives(1).m_Objectives.Description","Libérer le village des fanatiques du griffon",""
"da_quest_00_in_m_tu_village_attack.m_Objectives(2).m_Objectives.Description","Parler à Laodamie au centre du village",""
"da_quest_00_in_m_tu_village_attack.m_Objectives(3).m_Objectives.Description","Vaincre les fanatiques du griffon",""
"da_quest_00_in_m_tu_village_attack.m_Objectives(4).m_Objectives.Description","Parler à Laodamie à la porte du village",""
"da_quest_prepare_hunt.m_Title","La chasse commence",""
"da_quest_prepare_hunt.m_HighVisionGoal","Je devrais me préparer à chasser le griffon avec mon mentor Aristonoé.",""
"da_quest_prepare_hunt.m_CompletedGoal","Je suis prêt à affronter le griffon",""
"da_quest_prepare_hunt.m_Summary","Pendant des années, je me suis entraîné sur l'île de Proti avec mon mentor Aristonoé. Maintenant, je dois me préparer à relever mon plus grand défi. Un griffon rôde sur l'île et terrorise la population avec sa bande de fanatiques. Quelqu'un doit l'arrêter.",""
"da_quest_prepare_hunt.m_CompletedSummary","J'ai reçu la bénédiction de maîtrise divine de l'ancien sanctuaire de Proti. Aristonoé pense que je suis prêt à affronter le griffon. Mais elle semblait inquiète : après avoir reçu ma bénédiction, le sanctuaire a été corrompu par une énergie sombre. Elle est restée sur place pour en chercher la cause.",""
"da_quest_prepare_hunt.m_Objectives(0).m_Objectives.Description","Entrer dans la grotte mystérieuse",""
"da_quest_prepare_hunt.m_Objectives(1).m_Objectives.Description","S'approcher de l'ancien sanctuaire",""
"da_quest_prepare_hunt.m_Objectives(2).m_Objectives.Description","Vaincre les gardiens morts-vivants",""
"da_quest_prepare_hunt.m_Objectives(3).m_Objectives.Description","Parler à Aristonoé",""
"da_quest_prepare_hunt.m_Objectives(4).m_Objectives.Description","Recevoir la bénédiction de maîtrise divine à l'autel",""
"da_quest_prepare_hunt.m_Objectives(5).m_Objectives.Description","Parler à Aristonoé",""
